,Course_Name,Course_Description,Prerequisites
80,MAE 209. Continuum Mechanics Applied to Medicine/Biology (4),(Cross-listed with BENG 209.) Introduction to the basic definitions of continuum mechanics and their mathematical formulation at the graduate level with applications to problems in medicine and biology. This course is intended for students with little or no background in mechanics; it is an introduction to the Biomechanics courses BENG 250 A–B in the Department of Bioengineering and to Solid and Fluid Mechanics courses MAE 210A and MAE 231A in the Department of Mechanical and Aerospace Engineering. This course should NOT be taken concurrently with MAE 210A or MAE 231A. , consent of instructor.
81,MAE 210A. Fluid Mechanics I (4),"Basic conservation laws. Flow kinematics. The Navier-Stokes equations and some of its exact solutions. Nondimensional parameters and different flow regimes, vorticity dynamics.",
82,MAE 210B. Fluid Mechanics II (4),"Potential flows, boundary layers, low-Reynolds number flows. "," BENG 209 or MAE 209 or MAE 210A; MAE 101A and B; and MAE 110A, or consent of instructor."
83,MAE 210C. Fluid Mechanics III (4),"Flow instabilities, linear stability theory; introduction to turbulent flows. ", MAE 210A–B or consent of instructor.
84,MAE 211. Introduction to Combustion (4),"Fundamental aspects of flows of reactive gases, with emphasis on processes of combustion, including the relevant thermodynamics, chemical kinetics, fluid mechanics, and transport processes. Topics may include deflagrations, detonations, diffusion flames, ignition, extinction, and propellant combustion. ", graduate standing.
85,MAE 212. Introductory Compressible Flow (4),"Equations of motion for compressible fluids; one-dimensional gas dynamics and wave motion, waves in supersonic flow, including oblique shock waves; flow in ducts, nozzles, and wind tunnels; methods of characteristics. Nongraduate students may enroll with consent of instructor.",
86,MAE 213. Mechanics of Propulsion (4),"Fluid mechanics, thermodynamics and combustion processes involved in propulsion of aircraft and rockets by air breathing engines, and solid and liquid propellant rocket engines characteristics and matching of engine components; diffusers, compressors, combustors, turbines, pumps, nozzles. ", graduate standing.
87,MAE 214A. Introduction to Turbulence and Turbulent Mixing (4),"Basic features of turbulent flows. Analytical description of turbulence: random variables, correlations, spectra, Reynolds-averaging, coherent structures. Length and time scales. Kolomogorov similarity theory. Turbulence transport equations. Free shear flows. Homogeneous turbulence. Wall-bounded flows. Mixing of velocity and scalar fields. ", graduate standing.
88,MAE 217A. Introduction to Gas Discharge Plasma Physics (4),"Charged particle motion in electromagnetic field, atomic processes in plasmas, electric breakdown of the gases, plasma quasi-neutrality, sheath, probes. Electron kinetics in low-temperature plasma, particle and energy fluxes, DC and RF driven discharges, instabilities of gas discharge plasmas. ", consent of instructor.
89,MAE 217B. Introduction to Nonmagnetized Hot Plasma Physics (4),"Coulomb collisions, collisionless approximation for hot plasma dynamics, Vlasov equation, waves in nonmagnetized plasma, dispersion equation, WKB approximation, Landau dumping, plasma instabilities, quasi-linear theory. ", MAE 217A or consent of instructor.
90,MAE 217C. Introduction to Magnetized Hot Plasma Physics (4),"Drifts of magnetized charged particles, charged particle motion in different magnetic configurations, toroidal plasma equilibrium, Grad-Shafranov equation, neoclassical plasma transport in tokamak, waves in homogeneous magnetized plasma, waves in inhomogeneous magnetized plasma, instabilities of magnetized plasma. "," MAE 217A and B, or consent of instructor."
91,MAE 218A. Introduction to High Energy Density Physics (MHD and Pinches) (4),"Equation of state, Saha equilibrium. Shock rarefaction, and blast waves, self-similar motion. Rayleigh-Taylor, Kelvin-Helmholtz, and Richtmyer-Meshkov instabilities. Z-pinch, Bennett equilibrium, radiation collapse, and radiation sources. "," MAE 217A, B, and C, or consent of instructor."
92,MAE 218B. Introduction to High Energy Density Physics (Laser-Plasma Interactions) (4),"Propagation and absorption of laser beam in plasma, ablation pressure. Laser scattering and laser-plasma instabilities (stimulated Raman and Brillouin scattering, filamentation and decay instabilities). Electron heat transport, mechanisms of magnetic field generation. "," MAE 217A, B, and C, or consent of instructor."
93,MAE 220A. Physics of Gases (4),"Thermodynamics of gases for use in gas dynamics. Derivation of thermodynamic functions from statistical mechanics. Applications of classical and quantum statistical mechanics to chemical, thermal, and radiative properties of gases. Equilibrium and nonequilibrium radiation, chemical equilibrium, and elements of chemical kinetics. Laser and reacting-flow applications. ", graduate standing.
94,MAE 220B. Physical Gas Dynamics (4),"Velocity distribution functions, the Boltzmann equation, moment equations and the Navier-Stokes equations. The dynamics of molecular collisions. The Chapman-Enskog expansion and transport coefficients: shear and bulk viscosity, heat conduction, molecular and thermal diffusion. Linearizations about equilibrium: applications to acoustics and supersonic flows with relaxation. ", MAE 220A and graduate standing.
95,MAE 221A. Conduction Heat Transfer (4),"Fourier’s Law, the heat conduction equation, multidimensional conduction, unsteady conduction, moving boundary problems, conduction on slabs, cylindrical and spherical shells, multidimensional fins, numerical solution methods. ", graduate standing.
96,MAE 221B. Mass Transfer (4),Fundamentals of diffusive and convective mass transfer and mass transfer with chemical reaction. Development of mass conservation equations. Analytical and numerical solutions to mass transport problems. Specific topics and applications will vary. Students may not receive credit for MAE 221B and CENG 221B. , graduate standing.
97,MAE 221C. Convection Heat Transfer (4),"Classical introduction to convection analysis and fundamentals, including detailed treatment of nested boundary layers, turbulent mixing, similarity ad modeling, scale analysis, and the use of general conservation equations. Special topics covered in this course may include high-speed flows, natural convection, viscous dissipation, micro-scale convection, convection on rotating surfaces, and/or convection applications to mechanical and aerospace engineering. ", graduate standing.
